"StichtagDatJahr","SexCd","SexKurz","QuarSort","QuarLang","StatZoneSort","StatZoneLang","AnzGebuWir"
2019,"2","Weiblich",11,"Rathaus",1101,"Zähringerstrasse",4
2019,"1","Männlich",11,"Rathaus",1101,"Zähringerstrasse",1
2019,"2","Weiblich",11,"Rathaus",1102,"Prediger",7
2019,"1","Männlich",11,"Rathaus",1102,"Prediger",6
2019,"2","Weiblich",11,"Rathaus",1103,"Grossmünster",5
2019,"1","Männlich",11,"Rathaus",1103,"Grossmünster",3
2019,"2","Weiblich",11,"Rathaus",1104,"Oberdorf",2
2019,"1","Männlich",11,"Rathaus",1104,"Oberdorf",5
2019,"2","Weiblich",12,"Hochschulen",1202,"ETH / Universität",1
2019,"2","Weiblich",12,"Hochschulen",1203,"Bellevue",1
2019,"1","Männlich",12,"Hochschulen",1203,"Bellevue",4
2019,"2","Weiblich",13,"Lindenhof",1301,"Schipfe",2
2019,"1","Männlich",13,"Lindenhof",1301,"Schipfe",1
2019,"2","Weiblich",13,"Lindenhof",1302,"Münsterhof",1
2019,"1","Männlich",13,"Lindenhof",1303,"Stadthaus",1
2019,"2","Weiblich",14,"City",1402,"Sihlporte",1
2019,"2","Weiblich",14,"City",1403,"Selnaustrasse",2
2019,"1","Männlich",14,"City",1403,"Selnaustrasse",3
2019,"1","Männlich",14,"City",1404,"Paradeplatz",1
2019,"2","Weiblich",21,"Wollishofen",2101,"Bahnhof Wollishofen",5
2019,"1","Männlich",21,"Wollishofen",2101,"Bahnhof Wollishofen",4
2019,"2","Weiblich",21,"Wollishofen",2102,"Bellariastrasse",27
2019,"1","Männlich",21,"Wollishofen",2102,"Bellariastrasse",24
2019,"2","Weiblich",21,"Wollishofen",2103,"Muggenbühl",10
2019,"1","Männlich",21,"Wollishofen",2103,"Muggenbühl",10
2019,"2","Weiblich",21,"Wollishofen",2104,"Morgental",14
2019,"1","Männlich",21,"Wollishofen",2104,"Morgental",15
2019,"2","Weiblich",21,"Wollishofen",2105,"Manegg",29
2019,"1","Männlich",21,"Wollishofen",2105,"Manegg",16
2019,"2","Weiblich",21,"Wollishofen",2106,"Waschanstalt",1
2019,"1","Männlich",21,"Wollishofen",2106,"Waschanstalt",2
2019,"2","Weiblich",21,"Wollishofen",2107,"Auf der Egg",8
2019,"1","Männlich",21,"Wollishofen",2107,"Auf der Egg",4
2019,"2","Weiblich",21,"Wollishofen",2108,"Kalchbühl",14
2019,"1","Männlich",21,"Wollishofen",2108,"Kalchbühl",13
2019,"2","Weiblich",21,"Wollishofen",2109,"Entlisberg",26
2019,"1","Männlich",21,"Wollishofen",2109,"Entlisberg",26
2019,"2","Weiblich",21,"Wollishofen",2110,"Verenastrasse",8
2019,"1","Männlich",21,"Wollishofen",2110,"Verenastrasse",4
2019,"2","Weiblich",21,"Wollishofen",2111,"Seeblickstrasse",4
2019,"1","Männlich",21,"Wollishofen",2111,"Seeblickstrasse",5
2019,"2","Weiblich",23,"Leimbach",2301,"Höckler",11
2019,"1","Männlich",23,"Leimbach",2301,"Höckler",11
2019,"2","Weiblich",23,"Leimbach",2302,"Marbachweg",8
2019,"1","Männlich",23,"Leimbach",2302,"Marbachweg",3
2019,"2","Weiblich",23,"Leimbach",2303,"Sihlweidstrasse",12
2019,"1","Männlich",23,"Leimbach",2303,"Sihlweidstrasse",11
2019,"2","Weiblich",24,"Enge",2401,"Parkring",7
2019,"1","Männlich",24,"Enge",2401,"Parkring",8
2019,"2","Weiblich",24,"Enge",2402,"Kongresshaus",13
2019,"1","Männlich",24,"Enge",2402,"Kongresshaus",5
2019,"2","Weiblich",24,"Enge",2403,"Belvoir-Park",11
2019,"1","Männlich",24,"Enge",2403,"Belvoir-Park",6
2019,"2","Weiblich",24,"Enge",2404,"Museum Rietberg",22
2019,"1","Männlich",24,"Enge",2404,"Museum Rietberg",26
2019,"2","Weiblich",24,"Enge",2405,"Rieterplatz",29
2019,"1","Männlich",24,"Enge",2405,"Rieterplatz",22
2019,"2","Weiblich",24,"Enge",2406,"Gartenstrasse",3
2019,"1","Männlich",24,"Enge",2406,"Gartenstrasse",3
2019,"2","Weiblich",31,"Alt-Wiedikon",3101,"Höfliweg",23
2019,"1","Männlich",31,"Alt-Wiedikon",3101,"Höfliweg",33
2019,"2","Weiblich",31,"Alt-Wiedikon",3102,"Goldbrunnenplatz",25
2019,"1","Männlich",31,"Alt-Wiedikon",3102,"Goldbrunnenplatz",18
2019,"2","Weiblich",31,"Alt-Wiedikon",3103,"Gotthelfstrasse",11
2019,"1","Männlich",31,"Alt-Wiedikon",3103,"Gotthelfstrasse",13
2019,"2","Weiblich",31,"Alt-Wiedikon",3104,"Manesseplatz",20
2019,"1","Männlich",31,"Alt-Wiedikon",3104,"Manesseplatz",16
2019,"2","Weiblich",31,"Alt-Wiedikon",3105,"Binz",13
2019,"1","Männlich",31,"Alt-Wiedikon",3105,"Binz",19
2019,"2","Weiblich",31,"Alt-Wiedikon",3106,"Saalsporthalle",18
2019,"1","Männlich",31,"Alt-Wiedikon",3106,"Saalsporthalle",29
2019,"2","Weiblich",33,"Friesenberg",3301,"Heuried",12
2019,"1","Männlich",33,"Friesenberg",3301,"Heuried",8
2019,"2","Weiblich",33,"Friesenberg",3302,"Gehrenholz",5
2019,"1","Männlich",33,"Friesenberg",3302,"Gehrenholz",6
2019,"2","Weiblich",33,"Friesenberg",3303,"Uetliberg",5
2019,"1","Männlich",33,"Friesenberg",3303,"Uetliberg",5
2019,"2","Weiblich",33,"Friesenberg",3304,"Strassenverkehrsamt",2
2019,"1","Männlich",33,"Friesenberg",3304,"Strassenverkehrsamt",4
2019,"2","Weiblich",33,"Friesenberg",3305,"Albisgüetli",9
2019,"1","Männlich",33,"Friesenberg",3305,"Albisgüetli",7
2019,"2","Weiblich",33,"Friesenberg",3306,"Triemli",10
2019,"1","Männlich",33,"Friesenberg",3306,"Triemli",12
2019,"2","Weiblich",34,"Sihlfeld",3401,"Schaufelbergerstrasse",22
2019,"1","Männlich",34,"Sihlfeld",3401,"Schaufelbergerstrasse",21
2019,"2","Weiblich",34,"Sihlfeld",3402,"Friedhof Sihlfeld",9
2019,"1","Männlich",34,"Sihlfeld",3402,"Friedhof Sihlfeld",9
2019,"2","Weiblich",34,"Sihlfeld",3403,"Brahmsstrasse",18
2019,"1","Männlich",34,"Sihlfeld",3403,"Brahmsstrasse",22
2019,"2","Weiblich",34,"Sihlfeld",3404,"Fritschistrasse",15
2019,"1","Männlich",34,"Sihlfeld",3404,"Fritschistrasse",24
2019,"2","Weiblich",34,"Sihlfeld",3405,"Idaplatz",22
2019,"1","Männlich",34,"Sihlfeld",3405,"Idaplatz",31
2019,"2","Weiblich",34,"Sihlfeld",3406,"Zwinglihaus",23
2019,"1","Männlich",34,"Sihlfeld",3406,"Zwinglihaus",17
2019,"2","Weiblich",34,"Sihlfeld",3407,"Bahnhof Wiedikon",23
2019,"1","Männlich",34,"Sihlfeld",3407,"Bahnhof Wiedikon",29
2019,"2","Weiblich",34,"Sihlfeld",3408,"Sihlhölzli",23
2019,"1","Männlich",34,"Sihlfeld",3408,"Sihlhölzli",20
2019,"2","Weiblich",41,"Werd",4101,"Kalkbreite",11
2019,"1","Männlich",41,"Werd",4101,"Kalkbreite",17
2019,"2","Weiblich",41,"Werd",4102,"Werdplatz",9
2019,"1","Männlich",41,"Werd",4102,"Werdplatz",7
2019,"2","Weiblich",41,"Werd",4103,"Schöntalstrasse",16
2019,"1","Männlich",41,"Werd",4103,"Schöntalstrasse",16
2019,"2","Weiblich",42,"Langstrasse",4201,"Schöneggplatz",4
2019,"1","Männlich",42,"Langstrasse",4201,"Schöneggplatz",2
2019,"2","Weiblich",42,"Langstrasse",4202,"Bäckeranlage",4
2019,"1","Männlich",42,"Langstrasse",4202,"Bäckeranlage",8
2019,"2","Weiblich",42,"Langstrasse",4203,"Wengi",27
2019,"1","Männlich",42,"Langstrasse",4203,"Wengi",32
2019,"2","Weiblich",42,"Langstrasse",4204,"Bezirksgebäude",1
2019,"1","Männlich",42,"Langstrasse",4204,"Bezirksgebäude",4
2019,"2","Weiblich",42,"Langstrasse",4205,"Volkshaus",12
2019,"1","Männlich",42,"Langstrasse",4205,"Volkshaus",12
2019,"2","Weiblich",42,"Langstrasse",4206,"Kaserne",7
2019,"1","Männlich",42,"Langstrasse",4206,"Kaserne",11
2019,"2","Weiblich",44,"Hard",4401,"Schlachthof",6
2019,"1","Männlich",44,"Hard",4401,"Schlachthof",11
2019,"2","Weiblich",44,"Hard",4402,"Hardau",16
2019,"1","Männlich",44,"Hard",4402,"Hardau",15
2019,"2","Weiblich",44,"Hard",4403,"Bullingerhof",12
2019,"1","Männlich",44,"Hard",4403,"Bullingerhof",25
2019,"2","Weiblich",44,"Hard",4404,"Lochergut",7
2019,"1","Männlich",44,"Hard",4404,"Lochergut",8
2019,"2","Weiblich",44,"Hard",4405,"Güterbahnhof",22
2019,"1","Männlich",44,"Hard",4405,"Güterbahnhof",19
2019,"2","Weiblich",51,"Gewerbeschule",5101,"Josefswiese",11
2019,"1","Männlich",51,"Gewerbeschule",5101,"Josefswiese",17
2019,"2","Weiblich",51,"Gewerbeschule",5102,"Quellenstrasse",16
2019,"1","Männlich",51,"Gewerbeschule",5102,"Quellenstrasse",27
2019,"2","Weiblich",51,"Gewerbeschule",5103,"Kornhaus",2
2019,"1","Männlich",51,"Gewerbeschule",5103,"Kornhaus",4
2019,"1","Männlich",51,"Gewerbeschule",5104,"Berufsschulen",1
2019,"2","Weiblich",51,"Gewerbeschule",5105,"Ackerstrasse",7
2019,"1","Männlich",51,"Gewerbeschule",5105,"Ackerstrasse",8
2019,"2","Weiblich",51,"Gewerbeschule",5106,"Konradstrasse",5
2019,"1","Männlich",51,"Gewerbeschule",5106,"Konradstrasse",4
2019,"2","Weiblich",52,"Escher Wyss",5201,"Hardturm",13
2019,"1","Männlich",52,"Escher Wyss",5201,"Hardturm",19
2019,"2","Weiblich",52,"Escher Wyss",5202,"Technopark",23
2019,"1","Männlich",52,"Escher Wyss",5202,"Technopark",29
2019,"2","Weiblich",52,"Escher Wyss",5203,"Neue Hard",11
2019,"1","Männlich",52,"Escher Wyss",5203,"Neue Hard",8
2019,"2","Weiblich",52,"Escher Wyss",5204,"KV-Business School",1
2019,"2","Weiblich",61,"Unterstrass",6101,"Nordheim",8
2019,"1","Männlich",61,"Unterstrass",6101,"Nordheim",8
2019,"2","Weiblich",61,"Unterstrass",6102,"Kiefernweg",13
2019,"1","Männlich",61,"Unterstrass",6102,"Kiefernweg",16
2019,"2","Weiblich",61,"Unterstrass",6103,"Allenmoos",3
2019,"1","Männlich",61,"Unterstrass",6103,"Allenmoos",9
2019,"2","Weiblich",61,"Unterstrass",6104,"Radio-Studio",6
2019,"1","Männlich",61,"Unterstrass",6104,"Radio-Studio",4
2019,"2","Weiblich",61,"Unterstrass",6105,"Steinkluppe",15
2019,"1","Männlich",61,"Unterstrass",6105,"Steinkluppe",21
2019,"2","Weiblich",61,"Unterstrass",6106,"Seminarstrasse",2
2019,"1","Männlich",61,"Unterstrass",6106,"Seminarstrasse",8
2019,"2","Weiblich",61,"Unterstrass",6107,"Guggach",12
2019,"1","Männlich",61,"Unterstrass",6107,"Guggach",24
2019,"2","Weiblich",61,"Unterstrass",6108,"Scheuchzerstrasse",14
2019,"1","Männlich",61,"Unterstrass",6108,"Scheuchzerstrasse",23
2019,"2","Weiblich",61,"Unterstrass",6109,"Irchel",6
2019,"1","Männlich",61,"Unterstrass",6109,"Irchel",17
2019,"2","Weiblich",61,"Unterstrass",6110,"Weinbergstrasse",8
2019,"1","Männlich",61,"Unterstrass",6110,"Weinbergstrasse",9
2019,"2","Weiblich",61,"Unterstrass",6111,"Krone",16
2019,"1","Männlich",61,"Unterstrass",6111,"Krone",29
2019,"2","Weiblich",61,"Unterstrass",6112,"Drahtschmidli",7
2019,"1","Männlich",61,"Unterstrass",6112,"Drahtschmidli",5
2019,"2","Weiblich",61,"Unterstrass",6113,"Beckenhof",8
2019,"1","Männlich",61,"Unterstrass",6113,"Beckenhof",8
2019,"2","Weiblich",63,"Oberstrass",6301,"Strickhof",1
2019,"1","Männlich",63,"Oberstrass",6301,"Strickhof",1
2019,"2","Weiblich",63,"Oberstrass",6302,"Letzistrasse",9
2019,"1","Männlich",63,"Oberstrass",6302,"Letzistrasse",7
2019,"2","Weiblich",63,"Oberstrass",6303,"Riedtli",7
2019,"1","Männlich",63,"Oberstrass",6303,"Riedtli",8
2019,"2","Weiblich",63,"Oberstrass",6304,"Culmannstrasse",14
2019,"1","Männlich",63,"Oberstrass",6304,"Culmannstrasse",13
2019,"2","Weiblich",63,"Oberstrass",6305,"Bolleystrasse",6
2019,"1","Männlich",63,"Oberstrass",6305,"Bolleystrasse",4
2019,"2","Weiblich",63,"Oberstrass",6306,"Rigiviertel",11
2019,"1","Männlich",63,"Oberstrass",6306,"Rigiviertel",9
2019,"2","Weiblich",63,"Oberstrass",6307,"Rigiblick",6
2019,"1","Männlich",63,"Oberstrass",6307,"Rigiblick",1
2019,"2","Weiblich",71,"Fluntern",7101,"Susenberg",13
2019,"1","Männlich",71,"Fluntern",7101,"Susenberg",15
2019,"2","Weiblich",71,"Fluntern",7102,"Keltenstrasse",3
2019,"1","Männlich",71,"Fluntern",7102,"Keltenstrasse",4
2019,"2","Weiblich",71,"Fluntern",7103,"Toblerstrasse",22
2019,"1","Männlich",71,"Fluntern",7103,"Toblerstrasse",22
2019,"2","Weiblich",71,"Fluntern",7104,"Hochstrasse",11
2019,"1","Männlich",71,"Fluntern",7104,"Hochstrasse",4
2019,"2","Weiblich",71,"Fluntern",7105,"Platte",11
2019,"1","Männlich",71,"Fluntern",7105,"Platte",5
2019,"2","Weiblich",71,"Fluntern",7106,"Zoo",1
2019,"1","Männlich",71,"Fluntern",7106,"Zoo",1
2019,"1","Männlich",72,"Hottingen",7201,"Dolder",2
2019,"2","Weiblich",72,"Hottingen",7202,"Sonnenberg",5
2019,"1","Männlich",72,"Hottingen",7202,"Sonnenberg",2
2019,"2","Weiblich",72,"Hottingen",7203,"Doldertal",7
2019,"1","Männlich",72,"Hottingen",7203,"Doldertal",6
2019,"2","Weiblich",72,"Hottingen",7204,"Kantonsschule",19
2019,"1","Männlich",72,"Hottingen",7204,"Kantonsschule",14
2019,"2","Weiblich",72,"Hottingen",7205,"Merkurplatz",15
2019,"1","Männlich",72,"Hottingen",7205,"Merkurplatz",14
2019,"2","Weiblich",72,"Hottingen",7206,"Carmenstrasse",4
2019,"1","Männlich",72,"Hottingen",7206,"Carmenstrasse",8
2019,"2","Weiblich",72,"Hottingen",7207,"Eidmattstrasse",14
2019,"1","Männlich",72,"Hottingen",7207,"Eidmattstrasse",14
2019,"2","Weiblich",73,"Hirslanden",7301,"Degenried",11
2019,"1","Männlich",73,"Hirslanden",7301,"Degenried",7
2019,"2","Weiblich",73,"Hirslanden",7302,"Klus",17
2019,"1","Männlich",73,"Hirslanden",7302,"Klus",15
2019,"2","Weiblich",73,"Hirslanden",7303,"Hegibach",19
2019,"1","Männlich",73,"Hirslanden",7303,"Hegibach",21
2019,"2","Weiblich",74,"Witikon",7401,"Buchzelgstrasse",10
